mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	203										
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	204	---									
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	205										
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	206	-ti-									4
11	11	42	42	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	207										
11	11	40	40	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	208										
11	11	42	42	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	209										
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	210										
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	211										
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	212										
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	213										
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	214										
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	215										
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	216										
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	217										
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	218										
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	219										
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	220										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	221										
12	12	46	46	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	222										
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	223										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	224	-bis,									
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	225	Crl-									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	226	-ci-									
12	12	44	44	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	227	-xus									
12	12	46	46	0.75	1/2	1/2	Chord	4/4	4	1	3/16	1/8	3/2	228	e-									
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	229										
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	230	-tiam									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	231	pm									
12	12	44	44	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	232										
12	12	46	46	0.75	1/2	1/2	Chord	4/4	5	1	3/16	1/8	3/2	233										
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	5	1	1/16	1/16	1	234										
12	12	47	47	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	235										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	236										
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	237										
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	238										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	239										
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	240										
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	241										
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	242										
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	243										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	244										
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	245										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	246										
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	247	pro									
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	248	no-									
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	249										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	250										
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	251	-ti-									
